Name,P,T,TwoPhase_Iter,TwoPhase_Cut,TwoPhase_CPU,TwoPhase_UB,TwoPhase_LB,MP_CPU,SP_Cons_CPU,SP_Solve_CPU, 
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-100-100-100-0.dat,3,3,10,9,0.995,2384,2384,0.683,0.018,0.294
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-100-100-100-1.dat,3,3,11,10,1.421,2636,2636,0.768,0.017,0.636
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-100-100-100-2.dat,3,3,12,11,1.55,2971,2971,1,0.02,0.53
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-100-100-100-3.dat,3,3,13,12,1.613,2365,2365,1.018,0.018,0.577
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-100-100-100-4.dat,3,3,17,16,2.005,3637,3637,1.54,0.026,0.439
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-50-100-100-0.dat,3,3,9,8,0.997,1608,1608,0.72,0.015,0.262
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-50-100-100-1.dat,3,3,8,7,1.076,1634,1634,0.586,0.014,0.476
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-50-100-100-2.dat,3,3,10,9,1.375,1918,1918,0.912,0.015,0.448
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-50-100-100-3.dat,3,3,14,13,1.82,1608,1608,1.136,0.021,0.663
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.6-0.5-50-100-100-4.dat,3,3,14,13,1.551,2181,2181,1.085,0.022,0.444
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-100-100-100-0.dat,3,3,10,9,1.029,2384,2384,0.712,0.016,0.301
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-100-100-100-1.dat,3,3,11,10,1.393,2636,2636,0.752,0.016,0.625
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-100-100-100-2.dat,3,3,12,11,1.53,2971,2971,0.99,0.021,0.519
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-100-100-100-3.dat,3,3,13,12,1.544,2365,2365,0.99,0.02,0.534
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-100-100-100-4.dat,3,3,17,16,2.006,3637,3637,1.559,0.025,0.422
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-50-100-100-0.dat,3,3,9,8,1.041,1608,1608,0.745,0.02,0.276
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-50-100-100-1.dat,3,3,8,7,1.111,1634,1634,0.608,0.013,0.49
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-50-100-100-2.dat,3,3,10,9,1.42,1918,1918,0.922,0.022,0.476
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-50-100-100-3.dat,3,3,14,13,1.81,1608,1608,1.14,0.022,0.648
Results\SingleMachineCapVar2_TwoPhase_5_5\Data1-15-15-0.8-0.5-50-100-100-4.dat,3,3,14,13,1.571,2181,2181,1.109,0.023,0.439
