Name,P,T,TwoPhase_Callback_Cut,TwoPhase_CPU,TwoPhase_LB,TwoPhase_UB,TwoPhase_Obj,TwoPhase_Gap,TwoPhase_Callback_CPU,TwoPhase_Callback_Call,SP_Cons_CPU,SP_Solve_CPU,Nconsts,Nvars, 
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-100-100-100-0.dat,5,15,2702,600.027,10679.4,12571,12571,0.15047,12.731,2718,0.001,10.738,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-100-100-100-1.dat,5,15,3477,600.023,8200.87,11060,11060,0.258511,9.326,3510,0,6.94,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-100-100-100-2.dat,5,15,10950,600.09,9606.35,11852,11852,0.189474,64.299,10957,0,55.392,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-100-100-100-3.dat,5,15,11341,600.072,8443.52,12181,12181,0.306829,43.449,11353,0,34.817,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-100-100-100-4.dat,5,15,8668,600.075,10048.7,12309,12309,0.183629,52.129,8669,0,45.479,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-50-100-100-0.dat,5,15,3798,36.441,6549.35,6550,6550,9.95692e-05,24.442,3806,0,20.327,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-50-100-100-1.dat,5,15,9323,600.038,5492.81,6211,6211,0.115632,50.289,9335,0,43.19,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-50-100-100-2.dat,5,15,1185,8.836,5960.44,5961,5961,9.4673e-05,8.667,1186,0,7.444,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-50-100-100-3.dat,5,15,4994,600.036,5822.78,6414,6414,0.092176,28.651,4999,0,24.608,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.6-0.5-50-100-100-4.dat,5,15,222,1.684,6162.39,6163,6163,9.87427e-05,1.845,223,0,1.52,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-100-100-100-0.dat,5,15,2651,600.022,10737.4,12553,12553,0.144633,12.85,2666,0,10.956,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-100-100-100-1.dat,5,15,3509,600.04,8209.92,11154,11154,0.263948,9.417,3521,0,6.975,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-100-100-100-2.dat,5,15,9957,600.081,9944.4,11852,11852,0.160951,56.501,9959,0,48.545,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-100-100-100-3.dat,5,15,11640,600.109,8522.66,12202,12202,0.301536,47.671,11655,0,39.075,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-100-100-100-4.dat,5,15,9499,600.139,10201,12309,12309,0.171254,56.401,9500,0,48.841,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-50-100-100-0.dat,5,15,3603,34.642,6549.35,6550,6550,9.87512e-05,22.931,3609,0,19.152,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-50-100-100-1.dat,5,15,7408,600.062,5504.36,6218,6218,0.11477,39.46,7417,0,33.817,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-50-100-100-2.dat,5,15,1220,8.854,5960.43,5961,5961,9.54369e-05,9.103,1221,0,7.727,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-50-100-100-3.dat,5,15,4956,600.05,6032.6,6415,6415,0.0596096,28.887,4962,0,24.818,932,242
Results\SingleMachineCapVar2_TwoPhase_Callback_5_15\Data1-15-15-0.8-0.5-50-100-100-4.dat,5,15,350,2.619,6162.53,6163,6163,7.59916e-05,2.85,351,0,2.382,932,242
