Name,P,T,TwoPhase_Iter,TwoPhase_Cut,TwoPhase_CPU,TwoPhase_UB,TwoPhase_LB,MP_CPU,SP_Cons_CPU,SP_Solve_CPU, 
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-100-100-100-0.dat,4,4,33,32,4.282,5577,5577,3.246,0.046,0.99
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-100-100-100-1.dat,4,4,45,44,5.625,4921,4921,4.376,0.047,1.202
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-100-100-100-2.dat,4,4,78,77,10.187,5475,5475,7.65,0.089,2.448
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-100-100-100-3.dat,4,4,55,54,7.389,4858,4858,5.535,0.06,1.794
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-100-100-100-4.dat,4,4,88,87,11.94,5988,5988,9.427,0.111,2.402
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-50-100-100-0.dat,4,4,67,66,9.039,3650,3650,6.978,0.088,1.973
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-50-100-100-1.dat,4,4,17,16,2.68,3074,3074,1.918,0.024,0.738
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-50-100-100-2.dat,4,4,132,131,22.191,3500,3500,16.421,0.251,5.519
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-50-100-100-3.dat,4,4,31,30,4.419,3102,3102,3.096,0.039,1.284
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.6-0.5-50-100-100-4.dat,4,4,270,269,51.568,3842,3842,40.158,0.532,10.878
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-100-100-100-0.dat,4,4,33,32,4.304,5577,5577,3.204,0.042,1.058
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-100-100-100-1.dat,4,4,45,44,5.405,4921,4921,4.167,0.05,1.188
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-100-100-100-2.dat,4,4,78,77,10.74,5475,5475,8.091,0.091,2.558
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-100-100-100-3.dat,4,4,55,54,7.251,4858,4858,5.368,0.063,1.82
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-100-100-100-4.dat,4,4,88,87,11.868,5988,5988,9.3,0.105,2.463
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-50-100-100-0.dat,4,4,70,69,9.758,3650,3650,7.61,0.098,2.05
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-50-100-100-1.dat,4,4,17,16,2.712,3074,3074,1.921,0.024,0.767
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-50-100-100-2.dat,4,4,132,131,21.37,3500,3500,15.64,0.212,5.518
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-50-100-100-3.dat,4,4,30,29,4.323,3102,3102,3.062,0.039,1.222
Results\SingleMachineCapVar2_TwoPhase_4_4\Data1-15-15-0.8-0.5-50-100-100-4.dat,4,4,270,269,51.948,3842,3842,40.573,0.546,10.829
