Name*P*T*TwoPhase_Callback_Cut*TwoPhase_CPU*TwoPhase_LB*TwoPhase_UB*TwoPhase_Obj*TwoPhase_Gap*TwoPhase_Callback_CPU*TwoPhase_Callback_Call*SP_Cons_CPU*SP_Solve_CPU*Nconsts*Nvars* 
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-100-100-100-0,dat*4*4*3367*27,491*5577*5577*5577*0*72,515*3390*7,071*60,415*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-100-100-100-1,dat*4*4*3395*26,312*4921*4921*4921*0*68,739*3412*6,826*56,908*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-100-100-100-2,dat*4*4*3398*28,663*5475*5475*5475*0*72,938*3428*7,513*60,45*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-100-100-100-3,dat*4*4*3405*30,081*4858*4858*4858*0*79,498*3421*7,732*66,288*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-100-100-100-4,dat*4*4*3401*26,258*5988*5988*5988*0*67,829*3421*6,694*56,417*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-50-100-100-0,dat*4*4*2807*23,687*3650*3650*3650*0*62,422*2817*6,585*51,812*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-50-100-100-1,dat*4*4*2972*22,988*3074*3074*3074*0*61,262*2989*6,008*51,147*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-50-100-100-2,dat*4*4*2932*25,091*3500*3500*3500*0*66,6*2938*6,582*55,535*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-50-100-100-3,dat*4*4*3297*26,556*3102*3102*3102*0*70,268*3313*6,343*58,981*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,6-0,5-50-100-100-4,dat*4*4*2862*22,642*3842*3842*3842*0*60,202*2868*5,955*50,29*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-100-100-100-0,dat*4*4*3366*26,098*5577*5577*5577*0*67,062*3389*6,348*56,074*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-100-100-100-1,dat*4*4*3396*26,6*4921*4921*4921*0*69,433*3415*6,683*57,798*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-100-100-100-2,dat*4*4*3396*27,211*5475*5475*5475*0*71,632*3422*6,572*59,766*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-100-100-100-3,dat*4*4*3405*27,681*4858*4858*4858*0*74,035*3423*6,712*62,494*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-100-100-100-4,dat*4*4*3400*25,524*5988*5988*5988*0*64,421*3420*7,213*52,685*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-50-100-100-0,dat*4*4*2805*23,521*3650*3650*3650*0*60,101*2818*6,226*49,818*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-50-100-100-1,dat*4*4*2974*24,772*3074*3074*3074*0*65,804*2987*6,774*54,529*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-50-100-100-2,dat*4*4*2933*23,532*3500*3500*3500*0*63,469*2939*6,117*53,113*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-50-100-100-3,dat*4*4*3297*26,174*3102*3102*3102*0*69,479*3311*6,552*57,844*52*54
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0,8-0,5-50-100-100-4,dat*4*4*2861*21,553*3842*3842*3842*0*56,909*2868*5,652*47,578*52*54
