Name,P,T,TwoPhase_Callback_Cut,TwoPhase_CPU,TwoPhase_LB,TwoPhase_UB,TwoPhase_Obj,TwoPhase_Callback_CPU,TwoPhase_Callback_Call,SP_Cons_CPU,SP_Solve_CPU, 
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-100-100-100-0.dat,4,4,87,0.925,5577,5577,5577,1.778,101,0.217,1.361
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-100-100-100-1.dat,4,4,123,1.066,4921,4921,4921,2.159,139,0.322,1.603
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-100-100-100-2.dat,4,4,184,1.55,5475,5475,5475,3.226,201,0.562,2.376
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-100-100-100-3.dat,4,4,201,1.518,4858,4858,4858,3.401,216,0.426,2.645
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-100-100-100-4.dat,4,4,328,2.26,5988,5988,5988,5.154,346,0.806,3.782
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-50-100-100-0.dat,4,4,144,1.401,3650,3650,3650,2.952,162,0.419,2.232
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-50-100-100-1.dat,4,4,67,0.856,3074,3074,3074,1.656,78,0.211,1.295
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-50-100-100-2.dat,4,4,213,1.957,3500,3500,3500,4.347,221,0.637,3.293
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-50-100-100-3.dat,4,4,117,1.34,3102,3102,3102,2.699,134,0.337,2.105
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.6-0.5-50-100-100-4.dat,4,4,344,2.625,3842,3842,3842,6.5,353,1.086,4.78
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-100-100-100-0.dat,4,4,124,1.129,5577,5577,5577,2.258,142,0.323,1.652
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-100-100-100-1.dat,4,4,131,1.204,4921,4921,4921,2.33,151,0.34,1.737
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-100-100-100-2.dat,4,4,179,1.397,5475,5475,5475,2.967,194,0.473,2.221
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-100-100-100-3.dat,4,4,142,1.298,4858,4858,4858,2.831,153,0.322,2.226
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-100-100-100-4.dat,4,4,311,2.073,5988,5988,5988,4.87,327,0.773,3.528
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-50-100-100-0.dat,4,4,118,1.324,3650,3650,3650,2.482,126,0.397,1.877
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-50-100-100-1.dat,4,4,69,0.866,3074,3074,3074,1.749,81,0.254,1.332
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-50-100-100-2.dat,4,4,199,1.977,3500,3500,3500,4.242,207,0.625,3.173
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-50-100-100-3.dat,4,4,127,1.348,3102,3102,3102,2.712,140,0.347,2.096
Results\SingleMachineCapVar2_TwoPhase_Callback_4_4\Data1-15-15-0.8-0.5-50-100-100-4.dat,4,4,365,2.738,3842,3842,3842,6.76,374,1.161,5.026
